securities

id;name;short_title;title;is_ordered;is_system;is_hidden;trend_by;is_signed;has_percent;type;precision;is_linked
2002;UPDATETIME;Время обновления;Время последнего обновления;0;0;0;;0;0;time;;0
1995;DURATION;Дюрация, дней;Дюрация, дней;0;0;1;;0;0;number;0;0
1959;NUMBIDS;Заявок на покупку;Заявок на покупку;0;0;1;;0;0;number;0;0
1963;NUMOFFERS;Заявок на продажу;Заявок на продажу;0;0;1;;0;0;number;0;0
1968;CHANGE;Измен., % ном;Изменение цены последней сделки к цене последней сделки предыдущего торгового дня, % к номиналу;0;0;1;;0;0;number;;0
1972;TIME;Время последней;Время последней сделки;0;0;1;;0;0;time;;0
1982;HIGHBID;Наибольшая цена спроса;Наибольшая цена спроса в течение торговой сессии;0;0;1;;0;0;number;;0
1983;LOWOFFER;Наименьшая цена предложения;Наименьшая цена предложения в течение торговой сессии;0;0;1;;0;0;number;;0
1985;PRICEMINUSPREVWAPRICE;К оценке пред. дня;К оценке пред. дня;0;0;1;;0;0;number;;0
1987;LASTBID;Спрос сессии;Спрос сессии;0;0;1;;0;0;number;;0
1988;LASTOFFER;Предложение сессии;Предложение сессии;0;0;1;;0;0;number;;0
1997;LCURRENTPRICE;Текущая цена;Текущая цена;0;0;1;;0;0;number;;0
1998;LCLOSEPRICE;Цена закрытия;Цена закрытия;0;0;1;;0;0;number;;0
1999;MARKETPRICE2;Рыночная цена 2;Рыночная цена 2;0;0;1;;0;0;number;;0
2000;ADMITTEDQUOTE;Призн. котир., %;Признаваемая котировка;0;0;1;;0;0;number;;0
2001;OPENPERIODPRICE;Цена предторгового периода;Цена предторгового периода;0;0;1;;0;0;number;;0
2003;SEQNUM;номер обновления (служебное поле;номер обновления (служебное поле;0;1;1;;0;0;number;0;0
3164;SYSTIME;Время загрузки;Время загрузки данных системой;0;1;1;;0;0;date;;0
4294;VALTODAY_RUR;Объем, руб.;Объем совершенных сделок, рублей;0;0;0;;0;0;number;0;0
5388;IRICPICLOSE;Вмененная ставка;Вмененная плавающая ставка (расчетное значение);0;0;0;;0;0;number;2;0
5392;BEICLOSE;BEI;Вмененная инфляция (BEI);0;0;0;;0;0;number;2;0


